시군구,법정동,지번,거래건수,주용도,건물유형,전용면적_최소,전용면적_최대,층_최저,층_최고,평당가_평균,지산후보,단지명,유형확정
화성시 동탄구,반송동,87-3,3,제1종근린생활,집합,31.4,40.0,1,1,2263,,,
,능동,1152-3,3,제1종근린생활,집합,30.8,69.8,1,6,1465,,,
화성시 동탄구,능동,1152-3,3,제1종근린생활,집합,30.8,69.8,1,6,1465,,,
,반송동,86-4,3,제1종근린생활,집합,60.1,330.0,1,10,1967,,,
화성시 동탄구,반송동,86-4,3,제1종근린생활,집합,60.1,330.0,1,10,1967,,,
,반송동,107-2,3,제2종근린생활,집합,49.5,51.5,1,1,2432,,,
,산척동,745,3,제2종근린생활,집합,26.9,26.9,1,1,1319,,,
화성시 동탄구,산척동,745,3,제2종근린생활,집합,26.9,26.9,1,1,1319,,,
,영천동,678-7,3,제1종근린생활,집합,32.0,95.9,1,5,2477,,,
화성시 동탄구,영천동,678-7,3,제1종근린생활,집합,32.0,95.9,1,5,2477,,,
,목동,487-1,3,제2종근린생활,집합,44.6,48.5,6,7,1499,,,
화성시 동탄구,목동,487-1,3,제2종근린생활,집합,44.6,48.5,6,7,1499,,,
,반송동,219-3,3,제1종근린생활,집합,33.1,50.4,1,1,5791,,,
화성시 동탄구,반송동,219-3,3,제1종근린생활,집합,33.1,50.4,1,1,5791,,,
,청계동,520,3,제2종근린생활,집합,24.2,41.0,1,1,4975,,,
화성시 동탄구,청계동,520,3,제2종근린생활,집합,24.2,41.0,1,1,4975,,,
,산척동,728-2,3,제2종근린생활,집합,58.3,67.3,8,8,1500,,,
화성시 동탄구,산척동,728-2,3,제2종근린생활,집합,58.3,67.3,8,8,1500,,,
,반송동,91-7,3,제1종근린생활,집합,30.2,297.7,6,6,782,,,
화성시 동탄구,반송동,91-7,3,제1종근린생활,집합,30.2,297.7,6,6,782,,,
,반송동,88-8,3,숙박,집합,325.4,668.0,7,9,1199,,,
화성시 동탄구,반송동,88-8,3,숙박,집합,325.4,668.0,7,9,1199,,,
,청계동,512,2,제2종근린생활,집합,26.5,26.6,1,1,7820,,,
화성시 동탄구,청계동,512,2,제2종근린생활,집합,26.5,26.6,1,1,7820,,,
,장지동,971-1,2,제2종근린생활,집합,50.9,60.3,1,1,8088,,,
화성시 동탄구,장지동,971-1,2,제2종근린생활,집합,50.9,60.3,1,1,8088,,,
,능동,1065-3,2,제1종근린생활,집합,79.6,80.4,1,1,2211,,,
화성시 동탄구,능동,1065-3,2,제1종근린생활,집합,79.6,80.4,1,1,2211,,,
,중동,2**,2,제2종근린생활,일반,119.3,515.1,,,2289,,,
화성시 동탄구,중동,2**,2,제2종근린생활,일반,119.3,515.1,,,2289,,,
,영천동,873-2,2,제2종근린생활,집합,48.8,48.8,1,1,7555,,,
,청계동,535-6,2,제1종근린생활,집합,109.1,114.7,3,3,1433,,,
화성시 동탄구,영천동,873-2,2,제2종근린생활,집합,48.8,48.8,1,1,7555,,,
화성시 동탄구,청계동,535-6,2,제1종근린생활,집합,109.1,114.7,3,3,1433,,,
,금곡동,5**,2,제2종근린생활,일반,134.9,494.7,,,3441,,,
화성시 동탄구,금곡동,5**,2,제2종근린생활,일반,134.9,494.7,,,3441,,,
,반송동,93-8,2,제1종근린생활,집합,48.2,114.5,3,3,786,,,
화성시 동탄구,반송동,93-8,2,제1종근린생활,집합,48.2,114.5,3,3,786,,,
,청계동,564,2,제2종근린생활,집합,24.9,68.5,11,21,1416,,,
화성시 동탄구,청계동,564,2,제2종근린생활,집합,24.9,68.5,11,21,1416,,,
,반송동,61-10,2,제1종근린생활,집합,91.5,106.4,4,4,437,,,
화성시 동탄구,반송동,61-10,2,제1종근린생활,집합,91.5,106.4,4,4,437,,,
,반송동,88-12,2,교육연구,집합,59.5,102.1,5,5,662,,,
화성시 동탄구,반송동,88-12,2,교육연구,집합,59.5,102.1,5,5,662,,,
,능동,1114-2,2,제2종근린생활,집합,106.8,115.5,4,7,762,,,
화성시 동탄구,능동,1114-2,2,제2종근린생활,집합,106.8,115.5,4,7,762,,,
,반송동,103-2,2,교육연구,집합,100.3,100.3,5,6,882,,,
화성시 동탄구,반송동,103-2,2,교육연구,집합,100.3,100.3,5,6,882,,,
,여울동,972,2,제1종근린생활,집합,31.0,31.9,,,3056,,,
화성시 동탄구,여울동,972,2,제1종근린생활,집합,31.0,31.9,,,3056,,,
,장지동,8**,2,제2종근린생활,일반,167.0,199.9,,,1320,,,
화성시 동탄구,장지동,8**,2,제2종근린생활,일반,167.0,199.9,,,1320,,,
,반송동,218-2,2,제1종근린생활,집합,50.8,50.8,1,1,5211,,,
화성시 동탄구,반송동,218-2,2,제1종근린생활,집합,50.8,50.8,1,1,5211,,,
,목동,488-2,2,제2종근린생활,집합,50.6,59.4,3,4,1806,,,
화성시 동탄구,목동,488-2,2,제2종근린생활,집합,50.6,59.4,3,4,1806,,,
,여울동,971,2,판매,집합,38.1,47.8,2,2,1824,,,
화성시 동탄구,여울동,971,2,판매,집합,38.1,47.8,2,2,1824,,,
,송동,694,2,판매,집합,34.5,51.2,1,1,5258,,,
화성시 동탄구,송동,694,2,판매,집합,34.5,51.2,1,1,5258,,,
,금곡동,1**,2,제2종근린생활,일반,300.0,659.1,,,1348,,,
화성시 동탄구,금곡동,1**,2,제2종근린생활,일반,300.0,659.1,,,1348,,,
,반송동,91-6,2,제2종근린생활,집합,81.9,116.1,3,3,498,,,
화성시 동탄구,반송동,91-6,2,제2종근린생활,집합,81.9,116.1,3,3,498,,,
,반송동,40,2,제1종근린생활,집합,64.0,64.0,1,1,834,,,
화성시 동탄구,반송동,40,2,제1종근린생활,집합,64.0,64.0,1,1,834,,,
,목동,496-5,2,제2종근린생활,집합,36.0,38.5,1,1,5994,,,
화성시 동탄구,목동,496-5,2,제2종근린생활,집합,36.0,38.5,1,1,5994,,,
,영천동,678-3,2,제2종근린생활,집합,107.6,118.6,3,3,1356,,,
화성시 동탄구,영천동,678-3,2,제2종근린생활,집합,107.6,118.6,3,3,1356,,,
,청계동,531-2,2,제1종근린생활,집합,75.2,79.2,3,3,1221,,,
