출처,계획명,계획기간,단위,사업명,사업개요,총사업비,기투자,향후,이후,y1,y2,y3,y4,y5,기준연도,행,수집일
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,소비자 정보센터 운 영(자체/직접),"2025.1.~2029.12. 도민 연중(상담 15,000건, 소비 자분쟁조정 489건, 피해예 방교육 300회) 소비자정보센터 운영(소비 자분쟁조정, 피해예방 교육 , 홍보 등)",31,0,31,0,6,6,6,6,7,2026,2964,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,지방세정 운영(자체 /직접),"2026.1.~2030.12. 도민,한국지방세연구원 등 세정과 직원 35명 및 위 원회 위원 등 세정운영 필요 경비 지 원",88,0,88,0,18,18,18,18,18,2026,2981,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,지방세수증대 지원( 자체/지원),2026.1.~2030.12. 31개 시군 시군별 세수에 따른 안 분 세수증대 활동에 따른 경비 지원,129,0,129,0,26,26,26,26,26,2026,2994,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,도세징수교부금(자 체/직접),2026.1.~2030.12. 31개 시군 도세징수금의 3% 징수교부금 교부,14740,0,14740,0,2948,2948,2948,2948,2948,2026,3006,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,개별주택가격 조사 ·산정(국비/지원),2026.01.~2030.12. 31개 시군 시군별 배정 개별주택가격 조사·산 정 및 공시업무 추진 지 원 Y 국 토교 통부,145,0,145,0,29,29,29,29,29,2026,3054,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,"지방세, 세외수입 체납징수활동지원( 자체/지원)",2026~2030년 31개시군 체납징수 부서 31개 시군 체납징수 활동지원,103,0,103,0,21,21,21,21,21,2026,3072,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자동차임대사업 육 성 및 지원(자체/직 접),"2026~2030년 자동차임대사업자, 등록유치 유공 공무 원 임대용자동차 차량안전용품 구입비 지 원(5,000,000천원), 임대용자동차 등록 유치 유공공무원 포상금(100,000천원) 도 내 임대용자동차 등록유치 활성화를 위한 보조금 지원 및 포상금 지급",255,0,255,0,51,51,51,51,51,2026,3083,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,신문사 등을 이용한 홍보(자체/직접),"기간:2026.01 ~ 2030.12 대상:경기도민 규모:중앙,지역,지방신문 내용:도정홍보 공익광고",273,0,273,0,53,54,55,55,56,2026,3100,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,방송 등을 이용한 홍보(자체/직접),"기간:2026.01 ~ 2030.12 대상:경기도민 규모:TV, 라디오 등 내용:도정홍보 공익광 고",174,0,174,0,34,35,35,35,36,2026,3137,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,인터넷 언론을 이용 한 홍보(자체/직접),"기간:2026.01 ~ 2030.12 대상:경기도민 중앙,지역인터넷 언론 내용:도정홍보 공익광 고",82,0,82,0,16,16,16,17,17,2026,3148,2026-09-20
